AccountNo,CustId,AccountLocation,CurrencyCode,DailyDepositLimit,StakeScale,SourceProd,SheetName,Title,FirstName,LastName,CreateDate,CountryCode,Language,Status,DateOfBirth,Contact,CustomerGroup,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt,Product,Unnamed: 9,Unnamed: 10,Unnamed: 11,AccountNo.1,Bet_Amt.1,Product.1,Unnamed: 15,AccountNo.2,Vegas,Sportsbook,Games,Casino,Poker,Bingo,,Adjustments,CLASSID,CATEGORYID,product,sub_product,description,bet_or_play,Table: student,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Table: school,Unnamed: 8
00357DG   ,3531845.0,GIB,GBP,0.0,1.0,GM,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00497XG   ,4188499.0,GIB,GBP,0.0,1.0,SB,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00692VS   ,4704925.0,GIB,USD,0.0,2.0,SB,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00775SM   ,2815836.0,GIB,USD,0.0,1.0,SB,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00C017    ,889782.0,GIB,GBP,1500.0,0.41,XX,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00J381    ,1191874.0,GIB,GBP,500.0,8.0,XX,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,1569944.0,GIB,GBP,0.0,8.0,XX,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01152SJ   ,1965214.0,GIB,USD,0.0,1.0,PO,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,3042166.0,GIB,EUR,0.0,8.0,SB,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,5694730.0,GIB,GBP,0.0,1.0,SB,Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4188499.0,GIB,,,,,Customer,Mr,Elvis,Presley,2011-11-01,US,en,A,1948-10-18,Y,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1191874.0,GIB,,,,,Customer,Mr,Jim,Morrison,2008-09-19,US,en,A,1967-07-27,Y,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3042166.0,GIB,,,,,Customer,Mr,Keith,Moon,2011-01-11,UK ,en,A,1970-07-26,Y,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5694730.0,GIB,,,,,Customer,Mr,James,Hendrix,2012-10-10,US,en,A,1976-04-05,N,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4704925.0,GIB,,,,,Customer,Mr,Marc,Bolan,2012-03-26,UK ,en,A,1982-03-11,Y,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1569944.0,GIB,,,,,Customer,Miss,Janice,Joplin,2009-04-09,US,en,A,1954-08-22,Y,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3531845.0,GIB,,,,,Customer,Mr,Bon,Scott,2011-04-02,AU,en,A,1975-10-22,N,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2815836.0,GIB,,,,,Customer,Mr,Buddy,Holly,2010-10-17,US,en,A,1964-01-13,Y,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
